study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp
PRJNA393472	SAMN07539691	SRX3130078	SRR5972751	1632839	human vaginal metagenome	1019ebb5341f5a61ca23ff48c7db7b68;bfe71f2003cfe94a4927e002f7d9dae5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/001/SRR5972751/SRR5972751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/001/SRR5972751/SRR5972751_2.fastq.gz
PRJNA393472	SAMN07539692	SRX3130079	SRR5972752	1632839	human vaginal metagenome	1bd29d28167137dc55cce4ca27eefdc7;afe1b67bc28cf688f302fa90453c5c36	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/002/SRR5972752/SRR5972752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/002/SRR5972752/SRR5972752_2.fastq.gz
PRJNA393472	SAMN07539694	SRX3130081	SRR5972754	1632839	human vaginal metagenome	fb0dd451bf95e5a7ab8b9a29f53d5a87;057e16e19a42e27747a615fd542b3cf2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/004/SRR5972754/SRR5972754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/004/SRR5972754/SRR5972754_2.fastq.gz
PRJNA393472	SAMN07539698	SRX3130085	SRR5972758	1632839	human vaginal metagenome	0bc7419d0f4f15ee37410a999423d091;ec70170936ada440dcca0c7e1aeaf0fa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/008/SRR5972758/SRR5972758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/008/SRR5972758/SRR5972758_2.fastq.gz
PRJNA393472	SAMN07539700	SRX3130087	SRR5972760	1632839	human vaginal metagenome	f376ee6ec50e3a20f784de240133ac24;a7f349ea5147370ec152c0c82ba3f41b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/000/SRR5972760/SRR5972760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/000/SRR5972760/SRR5972760_2.fastq.gz
PRJNA393472	SAMN07539703	SRX3130090	SRR5972763	1632839	human vaginal metagenome	19ef36ea8554c9caef50839099381743;71e89ae5aefb5cfd680f4aacacdd8b70	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/003/SRR5972763/SRR5972763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/003/SRR5972763/SRR5972763_2.fastq.gz
PRJNA393472	SAMN07515298	SRX3103529	SRR5944959	1632839	human vaginal metagenome	22ee5bd8514e750591536ee82c80937e;2f70efc000c8d5e0941cf4498cae57b8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5944959/SRR5944959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5944959/SRR5944959_2.fastq.gz
PRJNA393472	SAMN07515377	SRX3103527	SRR5944961	1632839	human vaginal metagenome	18ea46b969204855d2370aa35f60ac0c;d7336531903196ec4a8919aa15f50629	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5944961/SRR5944961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5944961/SRR5944961_2.fastq.gz
PRJNA393472	SAMN07515376	SRX3103526	SRR5944962	1632839	human vaginal metagenome	557661c139bc8c88737c3a72d16c7615;849bd7b811b524fc2061a86eebb3b8ec	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5944962/SRR5944962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5944962/SRR5944962_2.fastq.gz
PRJNA393472	SAMN07515372	SRX3103522	SRR5944966	1632839	human vaginal metagenome	15890ab2b7675a8937aecc5fe7ceafae;0beee18787f27c3faf6de2fc91c21363	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5944966/SRR5944966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5944966/SRR5944966_2.fastq.gz
